sex,birth_year,marital_status,religion,job_code,income,region_code
female,1936,2,2,,,1
female,1945,2,2,,,1
male,1948,2,2,942.0,120.0,1
male,1942,3,1,762.0,200.0,1
female,1923,2,1,,,1
male,1962,1,1,530.0,,1
female,1963,1,1,,,1
female,2003,0,1,,,1
male,1927,1,1,,,1
female,1934,1,1,,,1
female,1930,2,2,,,7
male,1956,1,2,,,7
female,1960,1,2,,,7
female,1940,2,1,,,2
female,1970,3,1,,,1
female,1992,5,1,,,1
male,1940,1,2,,,1
female,1941,1,2,,,1
male,1962,5,2,999.0,40.0,1
male,1978,1,2,312.0,350.0,1
female,1975,1,2,254.0,200.0,1
female,2004,0,2,,,1
female,2008,0,2,,,1
male,1941,1,1,,,1
female,1942,1,1,510.0,150.0,1
male,1964,5,2,530.0,,1
female,1940,2,2,,,1
male,1975,5,1,286.0,,1
male,1978,1,2,521.0,,1
female,1961,1,2,,,1
male,1961,1,2,773.0,,1
female,1986,5,2,314.0,170.0,1
female,1962,1,2,941.0,120.0,1
female,1985,4,2,314.0,120.0,1
male,1952,1,2,773.0,200.0,1
female,1961,3,1,951.0,,1
female,1982,1,2,,,1
male,1968,5,2,274.0,,7
male,1971,3,2,873.0,250.0,7
female,1945,2,1,,,7
male,1943,2,2,,,1
female,1930,2,2,,,1
female,1939,2,1,,,1
male,1937,1,1,,,1
female,1945,1,1,,,1
male,1975,5,2,,,1
male,1972,1,1,,,1
female,1974,1,1,320.0,417.0,1
female,2006,0,1,,,1
female,2006,0,1,,,1
male,1980,5,2,952.0,150.0,1
female,1954,3,2,,,1
female,1941,2,1,,,1
male,1966,1,1,312.0,400.0,1
female,1974,1,1,,,1
male,1998,0,1,,,1
female,2000,0,1,,,1
male,2003,0,1,,,1
male,1955,1,2,151.0,,1
female,1961,1,2,,,1
female,1983,5,2,,,1
male,1985,5,2,152.0,190.0,1
female,1927,2,1,,,1
female,1936,2,1,,,1
male,1972,1,2,312.0,217.0,1
female,1973,1,2,314.0,100.0,1
male,2004,0,2,,,1
male,1926,1,2,,,1
female,1936,1,2,,,1
male,1968,5,2,,,1
female,1940,2,2,,,1
female,1982,1,1,,,2
male,1976,1,2,772.0,,2
male,2010,0,1,,,2
female,2012,0,1,,,2
female,1937,3,1,941.0,20.0,1
female,1942,2,2,,,1
male,1973,1,2,510.0,274.2,1
female,1974,1,2,,,1
female,2009,0,2,,,1
female,1939,2,2,,,1
male,1959,1,2,852.0,179.9,1
female,1967,1,2,,,1
female,1995,5,2,,,1
female,1998,0,2,,,1
male,1955,1,1,,,1
female,1958,1,1,442.0,100.0,1
male,1982,5,1,530.0,180.0,1
male,1968,1,1,312.0,885.0,1
female,1970,1,1,,,1
male,1994,5,1,,,1
male,1999,0,1,,,1
male,1973,1,1,312.0,583.3,1
female,1975,1,1,521.0,30.0,1
male,2004,0,1,,,1
female,2007,0,1,,,1
male,1950,1,1,991.0,248.5,5
female,1956,1,1,991.0,,5
male,1930,1,2,,,1
female,1938,1,2,,,1
female,1962,3,1,422.0,156.4,1
female,1991,5,1,422.0,100.0,1
male,1955,1,1,,,1
female,1959,1,1,,,1
